Local time,Open,High,Low,Close,Volume
31.03.2020 23:00:00.000 GMT+0200,1.24224,1.24464,1.23297,1.23730,568543.0737000001
01.04.2020 23:00:00.000 GMT+0200,1.23730,1.24751,1.23482,1.23925,547172.2905
02.04.2020 23:00:00.000 GMT+0200,1.23953,1.24060,1.22051,1.22640,467798.75260000007
05.04.2020 23:00:00.000 GMT+0200,1.22296,1.23269,1.22095,1.22291,425936.73669999995
06.04.2020 23:00:00.000 GMT+0200,1.22284,1.23839,1.21645,1.23297,453181.04030000005
07.04.2020 23:00:00.000 GMT+0200,1.23295,1.24192,1.22876,1.23808,286954.6694000001
08.04.2020 23:00:00.000 GMT+0200,1.23787,1.24829,1.23602,1.24525,353564.5518
09.04.2020 23:00:00.000 GMT+0200,1.24546,1.24862,1.24405,1.24449,323691.3386
12.04.2020 23:00:00.000 GMT+0200,1.24506,1.25364,1.24455,1.25002,237089.75969999994
13.04.2020 23:00:00.000 GMT+0200,1.25018,1.26470,1.24945,1.26233,240327.1312
14.04.2020 23:00:00.000 GMT+0200,1.26222,1.26304,1.24365,1.25108,229334.25099999993
15.04.2020 23:00:00.000 GMT+0200,1.25193,1.25272,1.24075,1.24550,267962.4704
16.04.2020 23:00:00.000 GMT+0200,1.24550,1.25219,1.24065,1.24939,290021.91860000003
19.04.2020 23:00:00.000 GMT+0200,1.24935,1.24996,1.24162,1.24318,201916.49839999998
20.04.2020 23:00:00.000 GMT+0200,1.24311,1.24469,1.22469,1.22879,244557.23819999996
21.04.2020 23:00:00.000 GMT+0200,1.22892,1.23856,1.22742,1.23321,189266.56119999997
22.04.2020 23:00:00.000 GMT+0200,1.23319,1.24146,1.23076,1.23432,223137.5192
23.04.2020 23:00:00.000 GMT+0200,1.23424,1.23769,1.22978,1.23654,204284.35160000002
26.04.2020 23:00:00.000 GMT+0200,1.23627,1.24543,1.23593,1.24284,148485.281
27.04.2020 23:00:00.000 GMT+0200,1.24288,1.25180,1.24034,1.24227,163693.70940000002
28.04.2020 23:00:00.000 GMT+0200,1.24227,1.24851,1.23886,1.24697,158048.1989
29.04.2020 23:00:00.000 GMT+0200,1.24655,1.26429,1.24284,1.25915,221925.8399
30.04.2020 23:00:00.000 GMT+0200,1.25915,1.26000,1.24828,1.24869,173511.99920000005
03.05.2020 23:00:00.000 GMT+0200,1.24851,1.24868,1.24050,1.24422,163625.93050000002
04.05.2020 23:00:00.000 GMT+0200,1.24425,1.24835,1.24200,1.24329,165198.431
05.05.2020 23:00:00.000 GMT+0200,1.24337,1.24498,1.23348,1.23414,228438.6541
06.05.2020 23:00:00.000 GMT+0200,1.23373,1.24181,1.22657,1.23543,195880.029
07.05.2020 23:00:00.000 GMT+0200,1.23545,1.24667,1.23500,1.24033,135659.0406
10.05.2020 23:00:00.000 GMT+0200,1.23965,1.24372,1.22828,1.23329,188154.8901
11.05.2020 23:00:00.000 GMT+0200,1.23326,1.23778,1.22550,1.22579,203478.21079999997
12.05.2020 23:00:00.000 GMT+0200,1.22578,1.23396,1.22096,1.22289,225926.57049999997
13.05.2020 23:00:00.000 GMT+0200,1.22278,1.22415,1.21653,1.22247,208329.5492
14.05.2020 23:00:00.000 GMT+0200,1.22249,1.22385,1.20998,1.21003,216596.0184
17.05.2020 23:00:00.000 GMT+0200,1.20824,1.22271,1.20745,1.21936,195324.1586
18.05.2020 23:00:00.000 GMT+0200,1.21932,1.22961,1.21834,1.22510,198863.7483
19.05.2020 23:00:00.000 GMT+0200,1.22511,1.22874,1.22210,1.22370,174374.90789999996
20.05.2020 23:00:00.000 GMT+0200,1.22355,1.22494,1.21853,1.22193,169568.7283
21.05.2020 23:00:00.000 GMT+0200,1.22195,1.22334,1.21613,1.21665,161920.3099
24.05.2020 23:00:00.000 GMT+0200,1.21734,1.22032,1.21635,1.21880,165417.3502
25.05.2020 23:00:00.000 GMT+0200,1.21826,1.23628,1.21771,1.23328,189047.1488
26.05.2020 23:00:00.000 GMT+0200,1.23328,1.23538,1.22043,1.22591,276832.1199
27.05.2020 23:00:00.000 GMT+0200,1.22602,1.23443,1.22335,1.23188,223868.12990000003
28.05.2020 23:00:00.000 GMT+0200,1.23174,1.23939,1.22903,1.23454,299814.61309999996
31.05.2020 23:00:00.000 GMT+0200,1.23236,1.25065,1.23235,1.24887,206614.69720000002
01.06.2020 23:00:00.000 GMT+0200,1.24898,1.25757,1.24782,1.25495,233001.30889999997
02.06.2020 23:00:00.000 GMT+0200,1.25483,1.26149,1.25447,1.25734,321690.10970000003
03.06.2020 23:00:00.000 GMT+0200,1.25734,1.26330,1.25004,1.25958,362223.0994
04.06.2020 23:00:00.000 GMT+0200,1.25957,1.27309,1.25825,1.26656,357859.6712
07.06.2020 23:00:00.000 GMT+0200,1.26767,1.27357,1.26276,1.27218,241130.62120000002
08.06.2020 23:00:00.000 GMT+0200,1.27214,1.27554,1.26180,1.27271,293304.32869999995
09.06.2020 23:00:00.000 GMT+0200,1.27274,1.28127,1.27059,1.27463,415406.4003
10.06.2020 23:00:00.000 GMT+0200,1.27463,1.27538,1.25860,1.26013,467117.13110000006
11.06.2020 23:00:00.000 GMT+0200,1.26004,1.26530,1.24734,1.25396,472166.67579999997
14.06.2020 23:00:00.000 GMT+0200,1.25112,1.26068,1.24540,1.26046,429274.19000000006
15.06.2020 23:00:00.000 GMT+0200,1.26049,1.26871,1.25523,1.25712,474905.76019999996
16.06.2020 23:00:00.000 GMT+0200,1.25711,1.25885,1.25105,1.25547,367110.5602
17.06.2020 23:00:00.000 GMT+0200,1.25539,1.25666,1.24013,1.24230,350897.6213
18.06.2020 23:00:00.000 GMT+0200,1.24231,1.24556,1.23424,1.23476,292259.2679
21.06.2020 23:00:00.000 GMT+0200,1.23419,1.24766,1.23350,1.24673,264934.8702
22.06.2020 23:00:00.000 GMT+0200,1.24666,1.25317,1.24317,1.25187,322012.3422
23.06.2020 23:00:00.000 GMT+0200,1.25178,1.25425,1.24139,1.24169,340110.7006
24.06.2020 23:00:00.000 GMT+0200,1.24166,1.24639,1.23886,1.24173,280350.7704
25.06.2020 23:00:00.000 GMT+0200,1.24170,1.24365,1.23142,1.23343,223350.59000000003
28.06.2020 23:00:00.000 GMT+0200,1.23442,1.23892,1.22514,1.22976,205408.29950000002
29.06.2020 23:00:00.000 GMT+0200,1.22976,1.24015,1.22573,1.24000,230350.75920000003
30.06.2020 23:00:00.000 GMT+0200,1.23998,1.24902,1.23592,1.24739,243625.25789999997
01.07.2020 23:00:00.000 GMT+0200,1.24726,1.25298,1.24560,1.24670,216169.67839999998
02.07.2020 23:00:00.000 GMT+0200,1.24670,1.24879,1.24377,1.24798,202609.06029999995
05.07.2020 23:00:00.000 GMT+0200,1.24640,1.25201,1.24536,1.24917,183435.25999999995
06.07.2020 23:00:00.000 GMT+0200,1.24906,1.25921,1.24622,1.25399,213038.74969999996
07.07.2020 23:00:00.000 GMT+0200,1.25388,1.26230,1.25084,1.26085,217104.90000000005
08.07.2020 23:00:00.000 GMT+0200,1.26087,1.26691,1.25962,1.26055,231917.63019999999
09.07.2020 23:00:00.000 GMT+0200,1.26053,1.26638,1.25666,1.26202,207620.55930000002
12.07.2020 23:00:00.000 GMT+0200,1.26126,1.26660,1.25500,1.25536,193701.05230000004
13.07.2020 23:00:00.000 GMT+0200,1.25531,1.25633,1.24797,1.25521,366020.18950000004
14.07.2020 23:00:00.000 GMT+0200,1.25514,1.26493,1.25482,1.25863,232369.04049999997
15.07.2020 23:00:00.000 GMT+0200,1.25863,1.26248,1.25196,1.25523,265600.71020000003
16.07.2020 23:00:00.000 GMT+0200,1.25519,1.25742,1.25115,1.25654,147853.8112
19.07.2020 23:00:00.000 GMT+0200,1.25449,1.26652,1.25178,1.26609,175267.55999999997
20.07.2020 23:00:00.000 GMT+0200,1.26609,1.27679,1.26490,1.27302,199214.93899999998
21.07.2020 23:00:00.000 GMT+0200,1.27303,1.27435,1.26436,1.27330,248948.05150000003
22.07.2020 23:00:00.000 GMT+0200,1.27328,1.27598,1.26726,1.27399,262009.30890000003
23.07.2020 23:00:00.000 GMT+0200,1.27389,1.28033,1.27168,1.27926,229485.4295
26.07.2020 23:00:00.000 GMT+0200,1.27903,1.29028,1.27740,1.28806,239092.16959999996
27.07.2020 23:00:00.000 GMT+0200,1.28796,1.29525,1.28379,1.29304,248413.3688
28.07.2020 23:00:00.000 GMT+0200,1.29297,1.30133,1.29116,1.29960,246832.34219999998
29.07.2020 23:00:00.000 GMT+0200,1.29948,1.31025,1.29441,1.30942,281045.42089999997
30.07.2020 23:00:00.000 GMT+0200,1.30933,1.31699,1.30701,1.30836,338723.7408000001
02.08.2020 23:00:00.000 GMT+0200,1.30755,1.31124,1.30044,1.30744,299681.9778
03.08.2020 23:00:00.000 GMT+0200,1.30751,1.31078,1.29809,1.30712,218663.44939999998
04.08.2020 23:00:00.000 GMT+0200,1.30711,1.31612,1.30547,1.31129,237754.13
05.08.2020 23:00:00.000 GMT+0200,1.31124,1.31855,1.31110,1.31422,307358.8892
06.08.2020 23:00:00.000 GMT+0200,1.31404,1.31485,1.30092,1.30509,294884.78560000006
09.08.2020 23:00:00.000 GMT+0200,1.30535,1.31031,1.30187,1.30709,248988.82730000003
10.08.2020 23:00:00.000 GMT+0200,1.30705,1.31316,1.30412,1.30471,268462.2420000001
11.08.2020 23:00:00.000 GMT+0200,1.30498,1.30674,1.30050,1.30326,279292.63289999997
12.08.2020 23:00:00.000 GMT+0200,1.30315,1.31246,1.30288,1.30659,224144.3508
13.08.2020 23:00:00.000 GMT+0200,1.30660,1.31423,1.30479,1.30829,209220.17100000006
16.08.2020 23:00:00.000 GMT+0200,1.30910,1.31216,1.30738,1.31034,175613.4097
17.08.2020 23:00:00.000 GMT+0200,1.31019,1.32497,1.30908,1.32376,257644.4427
18.08.2020 23:00:00.000 GMT+0200,1.32367,1.32671,1.30933,1.30971,272332.02849999996
19.08.2020 23:00:00.000 GMT+0200,1.30968,1.32243,1.30641,1.32129,292081.38339999993
20.08.2020 23:00:00.000 GMT+0200,1.32129,1.32549,1.30588,1.30881,357282.1689
23.08.2020 23:00:00.000 GMT+0200,1.30798,1.31489,1.30532,1.30625,219566.66799999998
24.08.2020 23:00:00.000 GMT+0200,1.30614,1.31703,1.30556,1.31505,233074.46139999997
25.08.2020 23:00:00.000 GMT+0200,1.31500,1.32186,1.31168,1.32084,225044.3677
26.08.2020 23:00:00.000 GMT+0200,1.32082,1.32844,1.31606,1.31987,370932.09500000003
27.08.2020 23:00:00.000 GMT+0200,1.32011,1.33562,1.31858,1.33488,327654.9675000001
30.08.2020 23:00:00.000 GMT+0200,1.33328,1.33952,1.33008,1.33676,708410.2203999999
31.08.2020 23:00:00.000 GMT+0200,1.33675,1.34821,1.33560,1.33825,365973.57729999995
01.09.2020 23:00:00.000 GMT+0200,1.33824,1.34022,1.32829,1.33505,362970.5063
02.09.2020 23:00:00.000 GMT+0200,1.33502,1.33585,1.32421,1.32801,326069.2516000001
03.09.2020 23:00:00.000 GMT+0200,1.32802,1.33187,1.31756,1.32782,348928.819
06.09.2020 23:00:00.000 GMT+0200,1.32468,1.32657,1.31401,1.31576,203530.4099
07.09.2020 23:00:00.000 GMT+0200,1.31575,1.31696,1.29796,1.29801,337416.0714
08.09.2020 23:00:00.000 GMT+0200,1.29821,1.30231,1.28845,1.30016,331818.3900000001
09.09.2020 23:00:00.000 GMT+0200,1.30017,1.30347,1.27731,1.28035,431663.16169999994
10.09.2020 23:00:00.000 GMT+0200,1.28035,1.28654,1.27621,1.27942,286694.03010000003
13.09.2020 23:00:00.000 GMT+0200,1.27733,1.29191,1.27664,1.28458,209155.52999999997
14.09.2020 23:00:00.000 GMT+0200,1.28458,1.29260,1.28143,1.28885,230495.2203
15.09.2020 23:00:00.000 GMT+0200,1.28882,1.30070,1.28748,1.29662,275874.2905
16.09.2020 23:00:00.000 GMT+0200,1.29681,1.29986,1.28645,1.29725,374898.99000000005
17.09.2020 23:00:00.000 GMT+0200,1.29729,1.29996,1.29139,1.29143,259839.84980000003
20.09.2020 23:00:00.000 GMT+0200,1.29237,1.29663,1.27750,1.28155,318457.4514
21.09.2020 23:00:00.000 GMT+0200,1.28167,1.28669,1.27105,1.27287,327545.3413999999
22.09.2020 23:00:00.000 GMT+0200,1.27294,1.27768,1.26748,1.27215,315867.6303
23.09.2020 23:00:00.000 GMT+0200,1.27221,1.27810,1.26903,1.27384,336871.9273
24.09.2020 23:00:00.000 GMT+0200,1.27462,1.28054,1.26871,1.27395,237199.70960000003
27.09.2020 23:00:00.000 GMT+0200,1.27617,1.29298,1.27508,1.28301,248889.15859999997
28.09.2020 23:00:00.000 GMT+0200,1.28301,1.29026,1.28222,1.28568,273062.3919
29.09.2020 23:00:00.000 GMT+0200,1.28598,1.29424,1.28052,1.29138,331172.4687
30.09.2020 23:00:00.000 GMT+0200,1.29138,1.29782,1.28191,1.28835,323118.1007
01.10.2020 23:00:00.000 GMT+0200,1.28787,1.29537,1.28365,1.29274,368431.5773
04.10.2020 23:00:00.000 GMT+0200,1.29337,1.29911,1.28994,1.29757,224135.88820000004
05.10.2020 23:00:00.000 GMT+0200,1.29736,1.30070,1.28665,1.28671,304502.523
06.10.2020 23:00:00.000 GMT+0200,1.28681,1.29293,1.28450,1.29133,279671.4073000001
07.10.2020 23:00:00.000 GMT+0200,1.29113,1.29700,1.28908,1.29360,221721.7278
08.10.2020 23:00:00.000 GMT+0200,1.29357,1.30486,1.29176,1.30433,224505.4588
11.10.2020 23:00:00.000 GMT+0200,1.30234,1.30825,1.30051,1.30620,182356.14969999998
12.10.2020 23:00:00.000 GMT+0200,1.30637,1.30677,1.29215,1.29348,248605.98999999996
13.10.2020 23:00:00.000 GMT+0200,1.29349,1.30641,1.28623,1.30114,258663.50029999999
14.10.2020 23:00:00.000 GMT+0200,1.30114,1.30297,1.28901,1.29022,257675.6111
15.10.2020 23:00:00.000 GMT+0200,1.29045,1.29619,1.28618,1.29082,335371.9775
